food,calories,protein,carbs,fat,fiber,vitamin_c,sugar
apple,52,0.3,14,0.2,2.4,4.6,10.4
banana,89,1.1,23,0.3,2.6,8.7,12.2
beetroot,43,1.6,10,0.2,2.8,4.9,6.8
bell pepper,31,1,6,0.3,2.1,127.7,4.2
cabbage,25,1.3,6,0.1,2.5,36.6,3.2
capsicum,31,1,6,0.3,2.1,127.7,4.2
carrot,41,0.9,10,0.2,2.8,5.9,4.7
cauliflower,25,1.9,5,0.3,2,48.2,1.9
chilli pepper,40,1.9,8.8,0.4,1.5,143.7,5.3
corn,86,3.2,19,1.2,2.7,6.8,6.2
cucumber,15,0.7,3.6,0.1,0.5,2.8,1.7
eggplant,25,1,6,0.2,3,2.2,3.5
garlic,149,6.4,33,0.5,2.1,31.2,1
ginger,80,1.8,18,0.8,2,5,1.7
grapes,69,0.7,18,0.2,0.9,3.2,15.5
jalepeno,29,0.9,6.5,0.4,2.8,118.5,4.1
kiwi,61,1.1,15,0.5,3,92.7,9
lemon,29,1.1,9,0.3,2.8,53,2.5
lettuce,15,1.4,2.9,0.2,1.3,9.2,0.8
mango,60,0.8,15,0.4,1.6,36.4,13.7
onion,40,1.1,9,0.1,1.7,7.4,4.2
orange,47,0.9,12,0.1,2.4,53.2,9.4
paprika,282,14,54,13,35,0,10.3
pear,57,0.4,15,0.1,3.1,4.3,9.8
peas,81,5.4,14,0.4,5.1,40,5.7
pineapple,50,0.5,13,0.1,1.4,47.8,9.9
pomegranate,83,1.7,19,1.2,4,10.2,13.7
potato,77,2,17,0.1,2.2,19.7,0.8
raddish,16,0.7,3.4,0.1,1.6,14.8,1.9
soy beans,446,36,30,20,9.3,6,7.3
spinach,23,2.9,3.6,0.4,2.2,28.1,0.4
sweetcorn,86,3.2,19,1.2,2.7,6.8,6.2
sweetpotato,86,1.6,20,0.1,3,2.4,4.2
tomato,18,0.9,3.9,0.2,1.2,13.7,2.6
turnip,28,0.9,6,0.1,1.8,21,3.8
watermelon,30,0.6,8,0.2,0.4,8.1,6.2